epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.7986047863960266,0.8696672320365906,0.0010000000474974513,0.459351122379303,0.628330647945404,0.8039667010307312,0.872355580329895,0.9255000352859497,0.38881462812423706,0.7708083987236023,0.8144314289093018
1,0.8911476135253906,0.9379029870033264,0.0010000000474974513,0.30217140913009644,0.7707436084747314,0.9067075252532959,0.8026888966560364,0.9308246970176697,0.4139426350593567,0.6088308691978455,0.9477250576019287
2,0.8995904922485352,0.9488785266876221,0.0010000000474974513,0.2725374400615692,0.7838940620422363,0.9183313846588135,0.7891777753829956,0.9330680966377258,0.4053371846675873,0.5914278030395508,0.9494377970695496
3,0.9032047390937805,0.954234778881073,0.0010000000474974513,0.2573888897895813,0.7892851829528809,0.9238574504852295,0.8013333082199097,0.9263066649436951,0.37634608149528503,0.6068148016929626,0.949512243270874
4,0.9072904586791992,0.9592369198799133,0.0010000000474974513,0.24398621916770935,0.798629879951477,0.9237622022628784,0.8349111080169678,0.9064583778381348,0.36095282435417175,0.7133105993270874,0.7470399737358093
5,0.9191047549247742,0.9657555818557739,0.0010000000474974513,0.222345232963562,0.8304731249809265,0.9175373911857605,0.7842444181442261,0.8452354073524475,0.5166545510292053,0.6599862575531006,0.5713753700256348
6,0.9334381222724915,0.970742404460907,0.0010000000474974513,0.19801335036754608,0.8688013553619385,0.9164258241653442,0.7644222378730774,0.7828136682510376,0.6609695553779602,0.638872504234314,0.4843994379043579
7,0.9476476311683655,0.9737356305122375,0.0010000000474974513,0.17858052253723145,0.9080703258514404,0.9183948636054993,0.7002444267272949,0.7278106212615967,0.7465466856956482,0.4974554777145386,0.4367413818836212
8,0.9534809589385986,0.9743986129760742,0.0010000000474974513,0.1703806221485138,0.9253881573677063,0.91896653175354,0.7004222273826599,0.7629115581512451,0.6907221078872681,0.49831342697143555,0.5720455646514893
9,0.956333339214325,0.9756267666816711,0.0010000000474974513,0.16410042345523834,0.933246374130249,0.9202051758766174,0.691777765750885,0.7645139694213867,0.7305031418800354,0.48692092299461365,0.6112890243530273
10,0.9590476155281067,0.9765360355377197,0.0005000000237487257,0.15820734202861786,0.9403893947601318,0.9218724966049194,0.670977771282196,0.7608084082603455,0.7543949484825134,0.46310487389564514,0.6435326337814331
11,0.9602571725845337,0.9773191809654236,0.0005000000237487257,0.15529075264930725,0.9445638060569763,0.9215549230575562,0.6791555285453796,0.7716084122657776,0.7440112829208374,0.47426414489746094,0.692307710647583
12,0.9607952237129211,0.978009045124054,0.0005000000237487257,0.15240900218486786,0.9445788860321045,0.9234445691108704,0.7362222075462341,0.819018542766571,0.6478657722473145,0.5382915139198303,0.8159952163696289
