fold,loss,accuracy,precision,recall,f1,auc
1,0.04456942155957222,0.9884600043296814,0.996972918510437,0.9255921840667725,0.9599574392177481,0.9918796420097351
2,0.043945007026195526,0.988421618938446,0.9977855086326599,0.9245773553848267,0.9597874566573606,0.9921649694442749
3,0.04491492360830307,0.9881166219711304,0.9972888231277466,0.9229945540428162,0.9587044898732124,0.9919983744621277
4,0.045498110353946686,0.9880949854850769,0.9967615604400635,0.9233402609825134,0.9586471553669536,0.9917958378791809
5,0.04598294943571091,0.9883282780647278,0.996934175491333,0.9247446060180664,0.9594834531285603,0.9907348155975342
