epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.9526761770248413,0.975381076335907,0.0010000000474974513,0.18315060436725616,0.9250959157943726,0.9164587259292603,0.7710066437721252,0.8495694994926453,0.7631933093070984,0.5723157525062561,0.9365925788879395
1,0.9667928814888,0.9809061884880066,0.0010000000474974513,0.1466844230890274,0.9651007652282715,0.9226745963096619,0.8149222135543823,0.8311415314674377,0.6545019149780273,0.630492627620697,0.9254370331764221
2,0.9674890637397766,0.9825239181518555,0.0010000000474974513,0.14164353907108307,0.9667778611183167,0.923360288143158,0.7579088807106018,0.8333948850631714,0.5294942855834961,0.5982090830802917,0.5878888964653015
3,0.9676643013954163,0.9834415912628174,0.0010000000474974513,0.13842922449111938,0.9668353796005249,0.9239063262939453,0.8025266528129578,0.8722634315490723,0.39591294527053833,0.7194972038269043,0.5601259469985962
4,0.9679152369499207,0.9838496446609497,0.0010000000474974513,0.13681703805923462,0.967435359954834,0.9241587519645691,0.7684622406959534,0.8398466110229492,0.4921674430370331,0.6187554001808167,0.5945185422897339
5,0.9680023789405823,0.9842550158500671,0.0010000000474974513,0.135267436504364,0.9671658873558044,0.9247349500656128,0.8217422366142273,0.8784782290458679,0.3892233073711395,0.7620291113853455,0.5900814533233643
6,0.9680523872375488,0.9846404790878296,0.0010000000474974513,0.13403309881687164,0.9670553207397461,0.9250206351280212,0.8210911154747009,0.8916714191436768,0.4324699342250824,0.6720771789550781,0.7882370352745056
7,0.9680290222167969,0.9848191738128662,0.0010000000474974513,0.1332695037126541,0.9666498899459839,0.9253555536270142,0.7954866886138916,0.8821300864219666,0.4432774782180786,0.6339040398597717,0.7533925771713257
8,0.96810382604599,0.9849812388420105,0.0010000000474974513,0.1325422078371048,0.9667514562606812,0.925509512424469,0.7950199842453003,0.8457676768302917,0.45463040471076965,0.6847248673439026,0.5870222449302673
9,0.9682328701019287,0.98516845703125,0.0010000000474974513,0.13185983896255493,0.9671364426612854,0.9255602955818176,0.7935088872909546,0.8508846163749695,0.4471534490585327,0.6924808025360107,0.5606889128684998
10,0.9682438373565674,0.9852801561355591,0.0010000000474974513,0.13154257833957672,0.9668914675712585,0.925849199295044,0.756351113319397,0.8432930111885071,0.48916155099868774,0.5822328925132751,0.6649703979492188
11,0.9683342576026917,0.9854902625083923,0.0010000000474974513,0.13073331117630005,0.9669637680053711,0.9260873198509216,0.8284378051757812,0.8830211758613586,0.3885346055030823,0.7885550260543823,0.5849851965904236
12,0.9683437943458557,0.9855823516845703,0.0010000000474974513,0.1302524209022522,0.9666616916656494,0.9264301657676697,0.8322177529335022,0.8650524616241455,0.388843297958374,0.8039147853851318,0.5829036831855774
13,0.968434751033783,0.9857038259506226,0.0010000000474974513,0.12985870242118835,0.9670790433883667,0.9263158440589905,0.8030577898025513,0.8365886211395264,0.4600209593772888,0.6778548359870911,0.6546370387077332
14,0.9684547781944275,0.9857471585273743,0.0010000000474974513,0.12973244488239288,0.9668832421302795,0.9265857338905334,0.8269977569580078,0.8637766242027283,0.40314486622810364,0.7433757185935974,0.6465111374855042
15,0.9685257077217102,0.9859300255775452,0.0010000000474974513,0.12917597591876984,0.9671358466148376,0.9265714287757874,0.8115711212158203,0.8404974341392517,0.43927136063575745,0.748655378818512,0.5598666667938232
16,0.9685190320014954,0.9860074520111084,0.0010000000474974513,0.12897372245788574,0.9671443700790405,0.9265396595001221,0.774786651134491,0.8311175107955933,0.5653818845748901,0.6601046919822693,0.5139036774635315
17,0.9685247540473938,0.9860014319419861,0.0010000000474974513,0.1289452314376831,0.9671202898025513,0.9265841245651245,0.8032199740409851,0.827700674533844,0.4895575940608978,0.6752911806106567,0.6627407670021057
18,0.968826174736023,0.9864336252212524,0.0005000000237487257,0.12683232128620148,0.9675942659378052,0.927138090133667,0.8173466920852661,0.8311419486999512,0.4553126394748688,0.7099775671958923,0.6612889170646667
