,precision,recall,f1-score,support
Benign,0.9518436500404233,0.8639293006636038,0.9057581991202984,31344.0
Attack,0.7423116428010392,0.8996777973052138,0.8134538352037608,13656.0
accuracy,0.8747777777777778,0.8747777777777778,0.8747777777777778,0.8747777777777778
macro avg,0.8470776464207312,0.8818035489844088,0.8596060171620297,45000.0
weighted avg,0.8882576702435117,0.8747777777777778,0.8777469014837599,45000.0
